CNTY_NM,demand,county
Anderson,1378668.622861506,48001
Andrews,445674.64280669164,48003
Angelina,2085076.3038597037,48005
Aransas,605901.6495165556,48007
Archer,215602.0333209183,48009
Armstrong,43746.03223434736,48011
Atascosa,1236541.7757769888,48013
Austin,756409.9689,48015
Bailey,159319.61084474102,48017
Bandera,540545.2683891491,48019
Bastrop,2645249.977541775,48021
Baylor,82692.41791896556,48023
Bee,736662.1694484804,48025
Bell,9388992.168296803,48027
Bexar,49851349.79747274,48029
Blanco,311571.0854769456,48031
Borden,13658.695653955616,48033
Bosque,453602.4172072393,48035
Bowie,2189379.0706717283,48037
Brazoria,9526176.095800254,48039
Brazos,5843223.431136191,48041
Brewster,227159.39118195765,48043
Briscoe,34504.921713227035,48045
Brooks,163522.28643057353,48047
Brown,924325.9616590348,48049
Burleson,465040.38087549934,48051
Burnet,1289242.372469786,48053
Caldwell,1190575.011556946,48055
Calhoun,470317.60419634584,48057
Callahan,343234.4254020245,48059
Cameron,10189339.200173778,48061
Camp,310424.9012,48063
Carson,140359.81303138306,48065
Cass,684343.6342,48067
Castro,172572.3662432469,48069
Chambers,1286496.3060358616,48071
Cherokee,1246881.312871679,48073
Childress,162089.55611722154,48075
Clay,256410.96841289406,48077
Cochran,59912.00593666895,48079
Coke,80041.86683926439,48081
Coleman,187257.8519551048,48083
Collin,28543784.57730198,48085
Collingsworth,61201.46321868574,48087
Colorado,504249.43378423207,48089
Comal,4630775.403462071,48091
Comanche,335497.6817099238,48093
Concho,78728.53071869172,48095
Cooke,1045463.3096529455,48097
Coryell,2026788.0589448335,48099
Cottle,30899.21709,48101
Crane,109221.8075545332,48103
Crockett,68245.72059266634,48105
Crosby,117412.2491791954,48107
Culberson,52437.92946868275,48109
Dallam,172811.15462880558,48111
Dallas,62236801.900791004,48113
Dawson,286641.578,48115
Deaf Smith,438105.051,48117
Delta,131811.18882838287,48119
Denton,24062777.249262303,48121
DeWitt,475881.3735798627,48123
Dickens,40856.692769087516,48125
Dimmit,197167.56995578937,48127
Donley,76746.58711855482,48129
Duval,229332.3654905415,48131
Eastland,430702.6110321634,48133
Ector,3927925.6694086976,48135
Edwards,33263.222108321985,48137
Ellis,5320897.7165651675,48139
El Paso,20771724.08297712,48141
Erath,1055325.2699765183,48143
Falls,412769.60327670764,48145
Fannin,897151.8433824589,48147
Fayette,608289.5333721422,48149
Fisher,86250.36486378965,48151
Floyd,121543.2882493603,48153
Foard,25765.26680177991,48155
Fort Bend,21891593.853570145,48157
Franklin,256339.33189722648,48159
Freestone,488107.33892046637,48161
Frio,429508.66910437006,48163
Gaines,537823.0807937803,48165
Galveston,8638026.574553357,48167
Garza,107860.71375684881,48169
Gillespie,662231.8296698446,48171
Glasscock,27245.754792243635,48173
Goliad,170590.4226,48175
Gonzales,475905.2524184186,48177
Gray,499449.7872345029,48179
Grayson,3507968.5357266744,48181
Gregg,3014536.216,48183
Grimes,773292.3077931795,48185
Guadalupe,4500062.641207258,48187
Hale,758415.7913728748,48189
Hall,67290.56705,48191
Hamilton,205811.70951301305,48193
Hansford,121089.59031679883,48195
Hardeman,83337.14655997395,48197
Hardin,1391205.0131033359,48199
Harris,115457169.27243383,48201
Harrison,1692890.2594181527,48203
Hartley,122856.62436993295,48205
Haskell,128587.5456233409,48207
Hays,6697679.911180761,48209
Hemphill,76149.61615465814,48211
Henderson,2057352.9722963427,48213
Hidalgo,21454443.956127897,48215
Hill,909807.6278170681,48217
Hockley,512439.87540889427,48219
Hood,1618364.4042852935,48221
Hopkins,911503.0253545346,48223
Houston,526910.4515737493,48225
Howard,729594.0332359439,48227
Hudspeth,82405.87185629515,48229
Hunt,2706594.713791796,48231
Hutchinson,478364.77278967283,48233
Irion,36988.32092303715,48235
Jack,211924.69218331485,48237
Jackson,363459.8016588434,48239
Jasper,780694.7477454981,48241
Jeff Davis,44319.124359688154,48243
Jefferson,6005432.381446192,48245
Jim Hogg,112708.1179836897,48247
Jim Wells,923203.6562469092,48249
Johnson,4845159.616,48251
Jones,486674.60860711435,48253
Karnes,358612.39743200253,48255
Kaufman,4434061.531438843,48257
Kendall,1206764.8640978234,48259
Kenedy,8190.441624662197,48261
Kent,17527.067500005982,48263
Kerr,1287427.5807395403,48265
Kimble,106069.80086515883,48267
King,5181.707966623022,48269
Kinney,75170.58377386762,48271
Kleberg,718012.7965363486,48273
Knox,78847.92491147105,48275
Lamar,1220853.3788457846,48277
Lamb,303523.9168836186,48279
Lampasas,555469.5424865657,48281
La Salle,156095.96763969905,48283
Lavaca,491211.5879,48285
Lee,435550.01525900426,48287
Leon,394908.23203691957,48289
Liberty,2585409.6081207735,48291
Limestone,531304.1578680287,48293
Lipscomb,69391.90484334793,48295
Live Oak,276612.4658311571,48297
Llano,546228.4319654453,48299
Loving,1026.7900579022578,48301
Lubbock,7663674.4461197825,48303
Lynn,137565.9889203467,48305
McCulloch,177945.10491831688,48307
McLennan,6413450.095850282,48309
McMullen,13563.18029973215,48311
Madison,328142.99943471694,48313
Marion,228544.36381819792,48315
Martin,124552.02190739947,48317
Mason,93867.71436311107,48319
Matagorda,868210.6910527487,48321
Maverick,1379289.4726639586,48323
Medina,1308488.7163458145,48325
Menard,46754.76589238653,48327
Midland,4229133.338952397,48329
Milam,619679.7393632906,48331
Mills,108600.95775208066,48333
Mitchell,216700.45989448816,48335
Montague,515735.15512960387,48337
Montgomery,16986307.32206983,48339
Moore,505992.58899881033,48341
Morris,288122.06601508474,48343
Motley,24356.41532698379,48345
Nacogdoches,1561079.0705897699,48347
Navarro,1328499.1830556307,48349
Newton,287477.33737407636,48351
Nolan,341610.6643802256,48353
Nueces,8412252.156,48355
Ochiltree,231720.24934612814,48357
Oldham,42575.96915,48359
Orange,2046941.798685985,48361
Palo Pinto,710323.8105213597,48363
Panola,545344.9149388783,48365
Parker,4142835.216411496,48367
Parmer,229642.79039176778,48369
Pecos,349180.2562024353,48371
Polk,1293898.7459881802,48373
Potter,2737637.203914422,48375
Presidio,138377.86943124616,48377
Rains,310090.5974864819,48379
Randall,3540157.2100999826,48381
Reagan,75003.43190397655,48383
Real,68150.20523844288,48385
Red River,278857.07665540854,48387
Reeves,281053.92980254826,48389
Refugio,159176.33781340584,48391
Roberts,20058.224386927828,48393
Robertson,412315.9053441462,48395
Rockwall,3135458.6542551573,48397
Runnels,235636.37886929026,48399
Rusk,1267464.871706836,48401
Sabine,241319.54244558647,48403
San Augustine,187042.9424,48405
San Jacinto,690958.0724525519,48407
San Patricio,1687278.7323575243,48409
San Saba,139571.81135903948,48411
Schleicher,57094.30298707671,48413
Scurry,387123.7306677071,48415
Shackelford,77104.7697,48417
Shelby,577366.4374422951,48419
Sherman,63947.529652610385,48421
Smith,5855306.123,48423
Somervell,236113.95564040757,48425
Starr,1574427.3413424992,48427
Stephens,223099.98862746035,48429
Sterling,33358.73746254545,48431
Stonewall,29084.425361045352,48433
Sutton,76913.73898844587,48435
Swisher,166077.32215605123,48437
Tarrant,52126238.98901302,48439
Taylor,3506273.1381892078,48441
Terrell,16404.76208788026,48443
Terry,275728.94880459004,48445
Throckmorton,36439.10763625222,48447
Titus,748768.7405963046,48449
Tom Green,2842942.8819457935,48451
Travis,31877318.197378047,48453
Trinity,339748.115,48455
Tyler,486698.48744567024,48457
Upshur,1033500.0115364563,48459
Upton,74239.30907018883,48461
Uvalde,596015.8103544269,48463
Val Verde,1139498.1758859477,48465
Van Zandt,1528245.6675754536,48467
Victoria,2188829.8573849434,48469
Walker,1940585.4517581556,48471
Waller,1517571.8267409813,48473
Ward,261855.34360363163,48475
Washington,883684.1784369502,48477
Webb,6426941.639634347,48479
Wharton,996678.8424833103,48481
Wheeler,114713.94042238248,48483
Wichita,3108547.203202696,48485
Wilbarger,299010.8163965598,48487
Willacy,478460.2881438963,48489
Williamson,16648111.331603095,48491
Wilson,1293827.1094725125,48493
Winkler,177037.70905319395,48495
Wise,1864865.6546975032,48497
Wood,1144297.8224356768,48499
Yoakum,178327.16633521073,48501
Young,432780.06998652377,48503
Zapata,327999.72640338173,48505
Zavala,222359.7446322285,48507
